"","cowcode","gwf_country","gwf_casename","gwf_startdate","gwf_enddate","gwf_startyr","gwf_endyr","gwf_subsreg","gwf_howend","gwf_violent","gwf_regimetype"
"22",771,"Bangladesh","Bangladesh 82-90",1982-03-24,1990-12-06,1983,1990,1,4,3,"personal"
"23",771,"Bangladesh","Bangladesh 07-08",2007-01-11,2008-12-29,2008,2008,1,3,1,"military"
"24",370,"Belarus","Belarus 91-94",1991-08-25,1994-07-10,1992,1994,2,2,1,"party-based"
"25",370,"Belarus","Belarus 94-NA",1994-07-21,2010-12-31,1995,NA,0,0,0,"personal"
"26",434,"Benin","Benin 60-63",1960-12-11,1963-10-28,1961,1963,2,4,2,"personal"
"27",434,"Benin","Benin 63-65",1963-10-28,1965-12-22,1964,1965,2,5,1,"personal"
"28",434,"Benin","Benin 65-67",1965-12-22,1967-12-17,1966,1967,2,5,1,"military"
"29",434,"Benin","Benin 67-69",1967-12-17,1969-12-10,1968,1969,2,5,1,"military"
"30",434,"Benin","Benin 69-70",1969-12-13,1970-05-07,1970,1970,1,3,2,"military"
"31",434,"Benin","Benin 72-90",1972-10-26,1990-02-25,1973,1990,1,4,3,"personal"
"32",145,"Bolivia","Bolivia 43-46",1943-12-20,1946-07-21,1944,1946,2,4,2,"party-military"
"33",145,"Bolivia","Bolivia 46-51",1946-07-21,1951-05-16,1947,1951,2,5,1,"oligarchy"
"34",145,"Bolivia","Bolivia 51-52",1951-05-16,1952-04-09,1952,1952,2,6,3,"military"
"35",145,"Bolivia","Bolivia 52-64",1952-04-09,1964-11-04,1953,1964,2,5,1,"party-based"
"36",145,"Bolivia","Bolivia 64-69",1964-11-04,1969-09-26,1965,1969,2,5,1,"personal"
"37",145,"Bolivia","Bolivia 69-71",1969-09-26,1971-08-21,1970,1971,2,5,3,"military"
"38",145,"Bolivia","Bolivia 71-79",1971-08-21,1979-07-01,1972,1979,1,3,1,"military-personal"
"39",145,"Bolivia","Bolivia 80-82",1980-07-17,1982-10-10,1981,1982,1,4,1,"military"
"40",571,"Botswana","Botswana 66-NA",1966-09-30,2010-12-31,1967,NA,0,0,0,"party-based"
"41",140,"Brazil","Brazil 64-85",1964-04-01,1985-01-15,1965,1985,1,2,2,"military"
"42",355,"Bulgaria","Bulgaria 44-90",1944-09-09,1990-08-01,1945,1990,1,1,1,"party-based"
"43",439,"Burkina Faso","Burkina Faso 60-66",1960-08-05,1966-01-03,1961,1966,2,4,1,"personal"
"44",439,"Burkina Faso","Burkina Faso 66-80",1966-01-03,1980-11-25,1967,1980,2,5,1,"personal"
"45",439,"Burkina Faso","Burkina Faso 80-82",1980-11-25,1982-11-07,1981,1982,2,5,2,"military"
"46",439,"Burkina Faso","Burkina Faso 82-87",1982-11-07,1987-10-15,1983,1987,2,5,3,"personal"
"47",439,"Burkina Faso","Burkina Faso 87-NA",1987-10-15,2010-12-31,1988,NA,0,0,0,"personal"
"48",516,"Burundi","Burundi 62-66",1962-07-01,1966-07-08,1963,1966,2,5,1,"monarchy"
"49",516,"Burundi","Burundi 66-87",1966-07-08,1987-09-03,1967,1987,2,5,1,"party-military"
"50",516,"Burundi","Burundi 87-93",1987-09-03,1993-06-01,1988,1993,1,2,1,"military"
"51",516,"Burundi","Burundi 96-03",1996-07-25,2003-04-30,1997,2003,1,3,1,"military-personal"
"52",811,"Cambodia","Cambodia 53-70",1953-11-09,1970-03-18,1954,1970,2,5,1,"monarchy"
"53",811,"Cambodia","Cambodia 70-75",1970-03-18,1975-04-17,1971,1975,2,6,4,"personal"
"54",811,"Cambodia","Cambodia 75-79",1975-04-17,1979-01-07,1976,1979,2,7,4,"party-based"
"55",811,"Cambodia","Cambodia 79-NA",1979-01-07,2010-12-31,1980,NA,0,0,0,"party-based"
"56",471,"Cameroon","Cameroon 60-83",1960-01-01,1983-08-22,1961,1983,2,8,1,"party-personal"
"57",471,"Cameroon","Cameroon 83-NA",1983-08-22,2010-12-31,1984,NA,0,0,0,"personal"
"58",482,"Cen African Rep","Cen African Rep 60-65",1960-08-31,1965-12-31,1961,1965,2,5,2,"personal"
"59",482,"Cen African Rep","Cen African Rep 66-79",1966-01-01,1979-09-20,1966,1979,2,7,1,"personal"
"60",482,"Cen African Rep","Cen African Rep 79-81",1979-09-20,1981-09-01,1980,1981,2,5,1,"personal"
"61",482,"Cen African Rep","Cen African Rep 81-93",1981-09-01,1993-09-19,1982,1993,1,2,1,"military-personal"
"62",482,"Cen African Rep","Cen African Rep 03-NA",2003-03-15,2010-12-31,2004,NA,0,0,0,"personal"
"63",483,"Chad","Chad 60-75",1960-08-11,1975-04-13,1961,1975,2,5,3,"party-personal"
"64",483,"Chad","Chad 75-79",1975-04-13,1979-03-23,1976,1979,3,6,4,"military"
"65",483,"Chad","Chad 82-90",1982-06-07,1990-12-01,1983,1990,2,6,4,"personal"
"66",483,"Chad","Chad 90-NA",1990-12-01,2010-12-31,1991,NA,0,0,0,"personal"
"67",155,"Chile","Chile 73-89",1973-09-11,1989-12-14,1974,1989,1,3,1,"military-personal"
"68",710,"China","China 49-NA",1949-01-22,2010-12-31,1950,NA,0,0,0,"party-based"
"69",100,"Colombia","Colombia 49-53",1949-11-09,1953-06-13,1950,1953,2,5,1,"party-based"
"70",100,"Colombia","Colombia 53-58",1953-06-13,1958-05-10,1954,1958,1,3,2,"military-personal"
"71",484,"Congo-Brz","Congo-Brz 60-63",1960-08-15,1963-08-15,1961,1963,2,4,2,"personal"
"72",484,"Congo-Brz","Congo-Brz 63-68",1963-08-15,1968-09-04,1964,1968,2,5,3,"party-personal"
"73",484,"Congo-Brz","Congo-Brz 68-91",1968-09-04,1991-02-25,1969,1991,1,4,1,"party-military"
"74",484,"Congo-Brz","Congo-Brz 97-NA",1997-10-14,2010-12-31,1998,NA,0,0,0,"personal"
"75",490,"Congo/Zaire","Congo/Zaire 60-97",1960-09-14,1997-05-17,1961,1997,2,6,4,"personal"
"76",490,"Congo/Zaire","Congo/Zaire 97-NA",1997-05-17,2010-12-31,1998,NA,0,0,0,"personal"
"77",94,"Costa Rica","Costa Rica 48-49",1948-05-08,1949-11-08,1949,1949,1,1,1,"personal"
"78",40,"Cuba","Cuba 52-59",1952-03-10,1959-01-01,1953,1959,2,6,4,"personal"
"79",40,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,1960,NA,0,0,0,"party-personal"
"80",315,"Czechoslovakia","Czechoslovakia 48-89",1948-02-25,1989-12-04,1949,1989,1,4,1,"party-based"
"81",42,"Dominican Rep","Dominican Rep 30-62",1930-02-23,1962-01-16,1931,1962,2,5,1,"personal"
"82",42,"Dominican Rep","Dominican Rep 63-65",1963-09-26,1965-04-24,1964,1965,2,6,4,"military"
"83",42,"Dominican Rep","Dominican Rep 66-78",1966-06-01,1978-05-16,1967,1978,1,2,1,"personal"
"84",130,"Ecuador","Ecuador 44-47",1944-05-31,1947-08-23,1945,1947,1,5,1,"personal"
"85",130,"Ecuador","Ecuador 63-66",1963-07-11,1966-03-29,1964,1966,1,4,2,"military"
"86",130,"Ecuador","Ecuador 70-72",1970-06-22,1972-02-15,1971,1972,2,5,1,"personal"
"87",130,"Ecuador","Ecuador 72-79",1972-02-15,1979-04-29,1973,1979,1,3,1,"military"
"88",651,"Egypt","Egypt 22-52",1922-02-28,1952-07-23,1923,1952,2,5,2,"monarchy"
"89",651,"Egypt","Egypt 52-NA",1952-07-23,2010-12-31,1953,NA,0,0,0,"party-personal-military"
"90",92,"El Salvador","El Salvador 31-48",1931-12-02,1948-12-14,1932,1948,2,5,1,"military"
"91",92,"El Salvador","El Salvador 48-82",1948-12-14,1982-03-28,1949,1982,2,7,4,"party-military"
"92",92,"El Salvador","El Salvador 82-94",1982-03-28,1994-03-20,1983,1994,1,1,1,"indirect military"
"93",531,"Eritrea","Eritrea 93-NA",1993-05-24,2010-12-31,1994,NA,0,0,0,"party-personal"
"94",530,"Ethiopia","Ethiopia 89-74",1889-11-03,1974-09-12,1890,1974,2,4,2,"monarchy"
"95",530,"Ethiopia","Ethiopia 74-91",1974-09-12,1991-05-08,1975,1991,2,6,4,"military-personal"
"96",530,"Ethiopia","Ethiopia 91-NA",1991-05-27,2010-12-31,1992,NA,0,0,0,"party-based"
"97",481,"Gabon","Gabon 60-NA",1960-08-17,2010-12-31,1961,NA,0,0,0,"party-personal"
"98",420,"Gambia","Gambia 65-94",1965-02-18,1994-07-22,1966,1994,2,5,1,"party-based"
"99",420,"Gambia","Gambia 94-NA",1994-07-22,2010-12-31,1995,NA,0,0,0,"personal"
"100",372,"Georgia","Georgia 91-92",1991-09-16,1992-01-06,1992,1992,2,5,3,"personal"
"101",372,"Georgia","Georgia 92-03",1992-01-06,2003-11-23,1993,2003,1,4,1,"personal"
"102",265,"Germany East","Germany East 49-90",1949-10-07,1990-03-18,1950,1990,3,2,1,"party-based"
"103",452,"Ghana","Ghana 60-66",1960-04-27,1966-02-24,1961,1966,2,5,2,"party-personal"
"104",452,"Ghana","Ghana 66-69",1966-02-24,1969-08-29,1967,1969,1,3,1,"military"
"105",452,"Ghana","Ghana 72-79",1972-01-13,1979-07-09,1973,1979,1,3,1,"military"
"106",452,"Ghana","Ghana 81-00",1981-12-31,2000-12-28,1982,2000,1,2,1,"personal"
"107",350,"Greece","Greece 67-74",1967-04-21,1974-07-23,1968,1974,1,3,1,"military"
"108",90,"Guatemala","Guatemala 54-58",1954-06-27,1958-02-02,1955,1958,2,2,1,"personal"
"109",90,"Guatemala","Guatemala 58-63",1958-02-02,1963-03-30,1959,1963,2,5,1,"personal"
"110",90,"Guatemala","Guatemala 63-66",1963-03-30,1966-05-10,1964,1966,2,2,1,"military"
"111",90,"Guatemala","Guatemala 66-70",1966-05-10,1970-03-01,1967,1970,2,8,1,"indirect military"
"112",90,"Guatemala","Guatemala 70-85",1970-03-01,1985-12-08,1971,1985,2,3,1,"military"
"113",90,"Guatemala","Guatemala 85-95",1985-12-08,1995-11-12,1986,1995,1,8,1,"indirect military"
"114",438,"Guinea","Guinea 58-84",1958-10-02,1984-04-03,1959,1984,2,5,1,"party-based"
"115",438,"Guinea","Guinea 84-08",1984-04-03,2008-12-23,1985,2008,2,5,1,"personal"
"116",438,"Guinea","Guinea 08-10",2008-12-23,2010-01-16,2009,2010,1,3,2,"personal"
"117",404,"Guinea Bissau","Guinea Bissau 74-80",1974-09-10,1980-11-14,1975,1980,2,5,2,"party-based"
"118",404,"Guinea Bissau","Guinea Bissau 80-99",1980-11-14,1999-05-07,1981,1999,1,6,4,"personal"
"119",404,"Guinea Bissau","Guinea Bissau 02-03",2002-11-16,2003-09-14,2003,2003,1,5,1,"personal"
"120",41,"Haiti","Haiti 41-46",1941-06-05,1946-01-11,1942,1946,1,4,2,"personal"
"121",41,"Haiti","Haiti 50-56",1950-05-10,1956-12-12,1951,1956,2,4,2,"personal"
"122",41,"Haiti","Haiti 57-86",1957-06-14,1986-02-07,1958,1986,2,4,3,"personal"
"123",41,"Haiti","Haiti 86-88",1986-02-07,1988-09-17,1987,1988,2,5,2,"military"
"124",41,"Haiti","Haiti 88-90",1988-09-17,1990-03-10,1989,1990,1,3,1,"military-personal"
"125",41,"Haiti","Haiti 91-94",1991-09-30,1994-10-12,1992,1994,1,7,1,"military"
"126",41,"Haiti","Haiti 99-04",1999-01-12,2004-02-29,2000,2004,1,6,4,"personal"
"127",91,"Honduras","Honduras 33-56",1933-11-26,1956-10-21,1934,1956,1,5,1,"party-personal"
"128",91,"Honduras","Honduras 63-71",1963-10-03,1971-03-28,1964,1971,2,3,1,"party-military"
"129",91,"Honduras","Honduras 72-81",1972-12-04,1981-11-29,1973,1981,1,3,1,"military"
"130",310,"Hungary","Hungary 47-90",1947-02-25,1990-04-08,1948,1990,1,2,1,"party-based"
"131",850,"Indonesia","Indonesia 49-66",1949-12-27,1966-03-11,1950,1966,2,5,1,"personal"
"132",850,"Indonesia","Indonesia 66-99",1966-03-11,1999-06-07,1967,1999,1,2,2,"party-personal-military"
"133",630,"Iran","Iran 25-79",1925-12-15,1979-01-16,1926,1979,2,4,2,"monarchy"
"134",630,"Iran","Iran 79-NA",1979-01-16,2010-12-31,1980,NA,0,0,0,""
"135",645,"Iraq","Iraq 32-58",1932-10-13,1958-07-14,1933,1958,2,5,3,"monarchy"
"136",645,"Iraq","Iraq 58-63",1958-07-14,1963-02-08,1959,1963,2,5,4,"personal"
"137",645,"Iraq","Iraq 63-68",1963-02-08,1968-07-17,1964,1968,2,5,1,"personal"
"138",645,"Iraq","Iraq 68-79",1968-07-17,1979-07-16,1969,1979,2,8,1,"party-personal"
"139",645,"Iraq","Iraq 79-03",1979-07-16,2003-04-07,1980,2003,3,7,4,"personal"
"140",437,"Ivory Coast","Ivory Coast 60-99",1960-08-07,1999-12-24,1961,1999,2,5,1,"party-based"
"141",437,"Ivory Coast","Ivory Coast 99-00",1999-12-24,2000-10-26,2000,2000,2,4,3,"personal"
"142",437,"Ivory Coast","Ivory Coast 00-NA",2000-10-26,2010-12-31,2001,NA,0,0,0,"personal"
"143",663,"Jordan","Jordan 46-NA",1946-05-25,2010-12-31,1947,NA,0,0,0,"monarchy"
"144",705,"Kazakhstan","Kazakhstan 91-NA",1991-12-16,2010-12-31,1992,NA,0,0,0,"personal"
"145",501,"Kenya","Kenya 63-02",1963-12-12,2002-12-27,1964,2002,1,2,1,"party-based"
"146",731,"Korea North","Korea North 48-NA",1948-09-09,2010-12-31,1949,NA,0,0,0,"party-personal"
"147",732,"Korea South","Korea South 48-60",1948-08-13,1960-04-27,1949,1960,1,4,3,"personal"
"148",732,"Korea South","Korea South 61-87",1961-05-16,1987-06-29,1962,1987,1,4,2,"military"
"149",690,"Kuwait","Kuwait 61-NA",1961-06-19,2010-12-31,1962,NA,0,0,0,"monarchy"
"150",703,"Kyrgyzstan","Kyrgyzstan 91-05",1991-08-31,2005-03-24,1992,2005,2,4,2,"personal"
"151",703,"Kyrgyzstan","Kyrgyzstan 05-10",2005-07-10,2010-04-08,2006,2010,2,4,3,"personal"
"152",812,"Laos","Laos 59-60",1959-12-24,1960-08-09,1960,1960,2,5,1,"personal"
"153",812,"Laos","Laos 60-62",1960-12-16,1962-07-24,1961,1962,1,7,4,"personal"
"154",812,"Laos","Laos 75-NA",1975-11-29,2010-12-31,1976,NA,0,0,0,"party-based"
"155",570,"Lesotho","Lesotho 70-86",1970-01-31,1986-01-20,1971,1986,2,5,1,"party-based"
"156",570,"Lesotho","Lesotho 86-93",1986-01-20,1993-03-27,1987,1993,1,3,1,"military"
"157",450,"Liberia","Liberia 44-80",1944-01-01,1980-04-12,1945,1980,2,5,2,"party-personal"
"158",450,"Liberia","Liberia 80-90",1980-04-12,1990-09-09,1981,1990,3,6,4,"personal"
"159",450,"Liberia","Liberia 97-03",1997-07-19,2003-08-11,1998,2003,1,6,4,"personal"
"160",620,"Libya","Libya 51-69",1951-12-24,1969-09-01,1952,1969,2,5,1,"monarchy"
"161",620,"Libya","Libya 69-NA",1969-09-01,2010-12-31,1970,NA,0,0,0,"personal"
"162",580,"Madagascar","Madagascar 60-72",1960-06-26,1972-05-18,1961,1972,2,4,3,"party-based"
"163",580,"Madagascar","Madagascar 72-75",1972-05-18,1975-06-15,1973,1975,2,8,2,"military"
"164",580,"Madagascar","Madagascar 75-93",1975-06-15,1993-02-10,1976,1993,1,2,1,"personal"
"165",580,"Madagascar","Madagascar 09-NA",2009-03-17,2010-12-31,2010,NA,0,0,0,"personal"
"166",553,"Malawi","Malawi 64-94",1964-07-06,1994-05-17,1965,1994,1,2,1,"personal"
"167",820,"Malaysia","Malaysia 57-NA",1957-08-31,2010-12-31,1958,NA,0,0,0,"party-based"
"168",432,"Mali","Mali 60-68",1960-09-22,1968-11-19,1961,1968,2,5,1,"party-based"
"169",432,"Mali","Mali 68-91",1968-11-19,1991-03-26,1969,1991,1,4,1,"personal"
"170",435,"Mauritania","Mauritania 60-78",1960-11-28,1978-07-10,1961,1978,2,5,1,"personal"
"171",435,"Mauritania","Mauritania 78-05",1978-07-10,2005-08-03,1979,2005,2,5,1,"personal"
"172",435,"Mauritania","Mauritania 05-07",2005-08-03,2007-03-25,2006,2007,1,3,1,"military"
"173",435,"Mauritania","Mauritania 08-NA",2008-08-06,2010-12-31,2009,NA,0,0,0,"personal"
"174",70,"Mexico","Mexico 15-00",1915-08-02,2000-07-02,1916,2000,1,2,1,"party-based"
"175",712,"Mongolia","Mongolia 21-93",1921-09-14,1993-06-06,1922,1993,1,2,1,"party-based"
"176",600,"Morocco","Morocco 56-NA",1956-03-02,2010-12-31,1957,NA,0,0,0,"monarchy"
"177",541,"Mozambique","Mozambique 75-NA",1975-06-25,2010-12-31,1976,NA,0,0,0,"party-based"
"178",775,"Myanmar","Myanmar 58-60",1958-09-26,1960-02-06,1959,1960,1,3,1,"military"
"179",775,"Myanmar","Myanmar 62-88",1962-03-02,1988-09-18,1963,1988,2,4,4,"military-personal"
"180",775,"Myanmar","Myanmar 88-NA",1988-09-18,2010-12-31,1989,NA,0,0,0,"military"
"181",565,"Namibia","Namibia 90-NA",1990-03-21,2010-12-31,1991,NA,0,0,0,"party-based"
"182",790,"Nepal","Nepal 46-51",1846-09-15,1951-02-18,1847,1951,2,6,3,"monarchy"
"183",790,"Nepal","Nepal 51-91",1951-02-18,1991-05-12,1952,1991,1,2,2,"monarchy"
"184",790,"Nepal","Nepal 02-06",2002-10-04,2006-04-24,2003,2006,1,4,2,"monarchy"
"185",93,"Nicaragua","Nicaragua 36-79",1936-06-02,1979-07-17,1937,1979,2,6,4,"personal"
"186",93,"Nicaragua","Nicaragua 79-90",1979-07-17,1990-02-25,1980,1990,1,2,2,"party-based"
"187",436,"Niger","Niger 60-74",1960-08-03,1974-04-15,1961,1974,2,5,3,"party-based"
"188",436,"Niger","Niger 74-91",1974-04-15,1991-07-29,1975,1991,1,4,1,"military-personal"
"189",436,"Niger","Niger 96-99",1996-01-27,1999-11-24,1997,1999,1,3,1,"personal"
"190",475,"Nigeria","Nigeria 66-79",1966-07-29,1979-08-11,1967,1979,1,3,1,"military"
"191",475,"Nigeria","Nigeria 83-93",1983-12-31,1993-08-26,1984,1993,2,8,1,"military"
"192",475,"Nigeria","Nigeria 93-99",1993-08-26,1999-02-27,1994,1999,1,3,1,"military-personal"
"193",698,"Oman","Oman 41-NA",1741-12-31,2010-12-31,1742,NA,0,0,0,"monarchy"
"194",770,"Pakistan","Pakistan 47-58",1947-08-14,1958-10-27,1948,1958,2,5,1,"oligarchy"
"195",770,"Pakistan","Pakistan 58-71",1958-10-27,1971-12-20,1959,1971,1,4,4,"military-personal"
"196",770,"Pakistan","Pakistan 75-77",1975-02-09,1977-07-05,1976,1977,2,5,1,"personal"
"197",770,"Pakistan","Pakistan 77-88",1977-07-05,1988-11-16,1978,1988,1,3,1,"military-personal"
"198",770,"Pakistan","Pakistan 99-08",1999-10-12,2008-08-18,2000,2008,1,1,1,"military-personal"
"199",95,"Panama","Panama 49-51",1949-11-24,1951-05-10,1950,1951,1,5,2,"personal"
"200",95,"Panama","Panama 53-55",1953-02-28,1955-01-02,1954,1955,1,1,2,"personal"
"201",95,"Panama","Panama 68-82",1968-10-11,1982-03-03,1969,1982,2,5,1,"military-personal"
"202",95,"Panama","Panama 82-89",1982-03-03,1989-12-20,1983,1989,1,7,4,"military-personal"
"203",150,"Paraguay","Paraguay 39-48",1939-04-30,1948-06-03,1940,1948,2,5,1,"personal"
"204",150,"Paraguay","Paraguay 48-54",1948-06-03,1954-05-07,1949,1954,2,5,3,"party-based"
"205",150,"Paraguay","Paraguay 54-93",1954-05-07,1993-05-09,1955,1993,1,1,1,"party-personal-military"
"206",135,"Peru","Peru 48-56",1948-10-27,1956-06-17,1949,1956,1,2,1,"military-personal"
"207",135,"Peru","Peru 62-63",1962-07-18,1963-06-09,1963,1963,1,3,1,"military"
"208",135,"Peru","Peru 68-80",1968-10-03,1980-05-18,1969,1980,1,3,1,"military"
"209",135,"Peru","Peru 92-00",1992-04-05,2000-11-21,1993,2000,1,1,1,"personal"
"210",840,"Philippines","Philippines 72-86",1972-09-22,1986-02-25,1973,1986,1,4,1,"personal"
"211",290,"Poland","Poland 44-89",1944-12-31,1989-06-18,1945,1989,1,2,1,"party-based"
"212",235,"Portugal","Portugal 26-74",1926-05-25,1974-04-25,1927,1974,1,5,1,"personal"
"213",360,"Romania","Romania 45-89",1945-03-06,1989-12-22,1946,1989,1,4,3,"party-personal"
"214",365,"Russia","Russia 93-NA",1993-09-21,2010-12-31,1994,NA,0,0,0,"personal"
"215",517,"Rwanda","Rwanda 62-73",1962-07-01,1973-07-05,1963,1973,2,5,1,"party-based"
"216",517,"Rwanda","Rwanda 73-94",1973-07-05,1994-07-04,1974,1994,2,6,4,"military-personal"
"217",517,"Rwanda","Rwanda 94-NA",1994-07-04,2010-12-31,1995,NA,0,0,0,"party-military"
"218",670,"Saudi Arabia","Saudi Arabia 27-NA",1927-05-20,2010-12-31,1928,NA,0,0,0,"monarchy"
"219",433,"Senegal","Senegal 60-00",1960-08-20,2000-03-19,1961,2000,1,2,2,"party-based"
"220",345,"Serbia","Serbia 91-00",1991-06-25,2000-10-05,1992,2000,1,4,2,"party-personal"
"221",451,"Sierra Leone","Sierra Leone 67-68",1967-03-23,1968-04-18,1968,1968,2,5,2,"military"
"222",451,"Sierra Leone","Sierra Leone 68-92",1968-06-30,1992-04-29,1969,1992,2,5,1,"party-based"
"223",451,"Sierra Leone","Sierra Leone 92-96",1992-04-29,1996-03-15,1993,1996,1,3,2,"military-personal"
"224",451,"Sierra Leone","Sierra Leone 97-98",1997-05-25,1998-02-12,1998,1998,1,7,3,"personal"
"225",830,"Singapore","Singapore 65-NA",1965-08-09,2010-12-31,1966,NA,0,0,0,"party-based"
"226",520,"Somalia","Somalia 69-91",1969-10-21,1991-01-26,1970,1991,3,6,4,"personal"
"227",560,"South Africa","South Africa 10-94",1910-05-31,1994-04-29,1911,1994,1,1,3,"oligarchy"
"228",365,"Soviet Union","Soviet Union 17-91",1917-11-07,1991-12-22,1918,1991,3,9,1,"party-based"
"229",230,"Spain","Spain 39-76",1939-03-28,1976-11-18,1940,1976,1,1,1,"personal"
"230",780,"Sri Lanka","Sri Lanka 78-94",1978-09-07,1994-11-09,1979,1994,1,2,3,"party-based"
"231",625,"Sudan","Sudan 58-64",1958-11-17,1964-10-29,1959,1964,1,4,2,"military"
"232",625,"Sudan","Sudan 69-85",1969-05-25,1985-04-06,1970,1985,2,4,2,"personal"
"233",625,"Sudan","Sudan 85-86",1985-04-06,1986-04-12,1986,1986,1,3,1,"military"
"234",625,"Sudan","Sudan 89-NA",1989-06-30,2010-12-31,1990,NA,0,0,0,"personal"
"235",572,"Swaziland","Swaziland 68-NA",1968-09-06,2010-12-31,1969,NA,0,0,0,"monarchy"
"236",652,"Syria","Syria 46-47",1946-04-17,1947-07-17,1947,1947,1,1,1,"oligarchy"
"237",652,"Syria","Syria 49-51",1949-12-19,1951-11-29,1950,1951,2,5,1,"indirect military"
"238",652,"Syria","Syria 51-54",1951-11-29,1954-02-25,1952,1954,1,5,1,"military"
"239",652,"Syria","Syria 57-58",1957-02-26,1958-02-28,1958,1958,2,9,1,"personal"
"240",652,"Syria","Syria 62-63",1962-03-28,1963-03-08,1963,1963,2,5,2,"indirect military"
"241",652,"Syria","Syria 63-NA",1963-03-08,2010-12-31,1964,NA,0,0,0,"party-personal-military"
"242",713,"Taiwan","Taiwan 49-00",1949-12-07,2000-03-18,1950,2000,1,2,1,"party-based"
"243",702,"Tajikistan","Tajikistan 91-NA",1991-09-09,2010-12-31,1992,NA,0,0,0,"personal"
"244",510,"Tanzania","Tanzania 64-NA",1964-04-26,2010-12-31,1965,NA,0,0,0,"party-based"
"245",800,"Thailand","Thailand 44-47",1944-07-26,1947-11-08,1945,1947,2,5,1,"personal"
"246",800,"Thailand","Thailand 47-57",1947-11-08,1957-09-16,1948,1957,2,5,1,"military-personal"
"247",800,"Thailand","Thailand 57-73",1957-09-16,1973-10-14,1958,1973,1,4,3,"military-personal"
"248",800,"Thailand","Thailand 76-88",1976-10-06,1988-07-24,1977,1988,1,2,2,"military-personal"
"249",800,"Thailand","Thailand 91-92",1991-02-23,1992-05-20,1992,1992,1,4,3,"military"
"250",800,"Thailand","Thailand 06-07",2006-09-19,2007-12-23,2007,2007,1,2,1,"military"
"251",461,"Togo","Togo 60-63",1960-04-27,1963-01-13,1961,1963,1,5,2,"personal"
"252",461,"Togo","Togo 63-NA",1963-01-13,2010-12-31,1964,NA,0,0,0,"personal"
"253",616,"Tunisia","Tunisia 56-NA",1956-03-20,2010-12-31,1957,NA,0,0,0,"party-based"
"254",640,"Turkey","Turkey 23-50",1923-10-29,1950-05-14,1924,1950,1,2,1,"party-based"
"255",640,"Turkey","Turkey 57-60",1957-10-27,1960-05-27,1958,1960,2,5,2,"party-based"
"256",640,"Turkey","Turkey 60-61",1960-05-27,1961-10-15,1961,1961,1,3,1,"military"
"257",640,"Turkey","Turkey 80-83",1980-09-12,1983-11-06,1981,1983,1,2,1,"military"
"258",701,"Turkmenistan","Turkmenistan 91-NA",1991-10-27,2010-12-31,1992,NA,0,0,0,"party-personal"
"259",500,"Uganda","Uganda 66-71",1966-02-22,1971-01-25,1967,1971,2,5,2,"personal"
"260",500,"Uganda","Uganda 71-79",1971-01-25,1979-04-11,1972,1979,2,7,4,"personal"
